sd_onset_control	effect_size	obs_freq	statistical_test	pwr
150	0.7	1	t	0.896399999999918
1	1	1	t	0.999999999999906
3	1	1	t	0.999999999999906
7	1	1	t	0.999999999999906
14	1	1	t	0.999999999999906
21	1	1	t	0.999999999999906
30	1	1	t	0.999999999999906
60	1	1	t	0.999999999999906
90	1	1	t	0.999999999999906
150	1	1	t	0.977399999999909
1	1.5	1	t	0.999999999999906
3	1.5	1	t	0.999999999999906
7	1.5	1	t	0.999999999999906
14	1.5	1	t	0.999999999999906
21	1.5	1	t	0.999999999999906
30	1.5	1	t	0.999999999999906
60	1.5	1	t	0.999999999999906
90	1.5	1	t	0.999999999999906
150	1.5	1	t	0.998799999999906
1	2	1	t	0.999999999999906
3	2	1	t	0.999999999999906
7	2	1	t	0.999999999999906
14	2	1	t	0.999999999999906
21	2	1	t	0.999999999999906
30	2	1	t	0.999999999999906
60	2	1	t	0.999999999999906
90	2	1	t	0.999999999999906
150	2	1	t	0.999899999999906
1	0.00958904109589041	7	t	0.222199999999992
3	0.00958904109589041	7	t	0.704099999999939
7	0.00958904109589041	7	t	0.24239999999999
14	0.00958904109589041	7	t	0.101700000000002
21	0.00958904109589041	7	t	0.071500000000001
30	0.00958904109589041	7	t	0.0616000000000007
60	0.00958904109589041	7	t	0.0528000000000005
90	0.00958904109589041	7	t	0.0542000000000005
150	0.00958904109589041	7	t	0.0474000000000003
1	0.0191780821917808	7	t	0.999999999999906
3	0.0191780821917808	7	t	0.999299999999906
7	0.0191780821917808	7	t	0.709899999999938
14	0.0191780821917808	7	t	0.254599999999988
21	0.0191780821917808	7	t	0.1472
30	0.0191780821917808	7	t	0.0925000000000016
60	0.0191780821917808	7	t	0.0605000000000007
90	0.0191780821917808	7	t	0.0558000000000006
150	0.0191780821917808	7	t	0.0526000000000005
1	0.0383561643835616	7	t	0.999999999999906
3	0.0383561643835616	7	t	0.999999999999906
7	0.0383561643835616	7	t	0.998499999999906
14	0.0383561643835616	7	t	0.729599999999936
21	0.0383561643835616	7	t	0.407999999999971
30	0.0383561643835616	7	t	0.214599999999993
60	0.0383561643835616	7	t	0.0916000000000016
90	0.0383561643835616	7	t	0.069500000000001
150	0.0383561643835616	7	t	0.0557000000000006
1	0.0575342465753425	7	t	0.999999999999906
3	0.0575342465753425	7	t	0.999999999999906
7	0.0575342465753425	7	t	0.999999999999906
14	0.0575342465753425	7	t	0.96769999999991
21	0.0575342465753425	7	t	0.730399999999936
30	0.0575342465753425	7	t	0.429899999999969
60	0.0575342465753425	7	t	0.1444
90	0.0575342465753425	7	t	0.0820000000000013
150	0.0575342465753425	7	t	0.0624000000000008
1	0.0821917808219178	7	t	0.999999999999906
3	0.0821917808219178	7	t	0.999999999999906
7	0.0821917808219178	7	t	0.999999999999906
14	0.0821917808219178	7	t	0.999599999999906
21	0.0821917808219178	7	t	0.949799999999912
30	0.0821917808219178	7	t	0.714399999999938
60	0.0821917808219178	7	t	0.24269999999999
90	0.0821917808219178	7	t	0.130500000000002
150	0.0821917808219178	7	t	0.0812000000000013
1	0.1	7	t	0.999999999999906
3	0.1	7	t	0.999999999999906
7	0.1	7	t	0.999999999999906
14	0.1	7	t	0.999999999999906
21	0.1	7	t	0.989799999999907
30	0.1	7	t	0.855699999999922
60	0.1	7	t	0.32929999999998
90	0.1	7	t	0.170199999999998
150	0.1	7	t	0.0922000000000016
1	0.3	7	t	0.999999999999906
3	0.3	7	t	0.999999999999906
7	0.3	7	t	0.999999999999906
14	0.3	7	t	0.999999999999906
21	0.3	7	t	0.999999999999906
30	0.3	7	t	0.999999999999906
60	0.3	7	t	0.985999999999908
90	0.3	7	t	0.790099999999929
150	0.3	7	t	0.378599999999975
1	0.5	7	t	0.999999999999906
3	0.5	7	t	0.999999999999906
7	0.5	7	t	0.999999999999906
14	0.5	7	t	0.999999999999906
21	0.5	7	t	0.999999999999906
30	0.5	7	t	0.999999999999906
60	0.5	7	t	0.999999999999906
90	0.5	7	t	0.986499999999908
150	0.5	7	t	0.709599999999938
1	0.7	7	t	0.999999999999906
3	0.7	7	t	0.999999999999906
7	0.7	7	t	0.999999999999906
14	0.7	7	t	0.999999999999906
21	0.7	7	t	0.999999999999906
30	0.7	7	t	0.999999999999906
60	0.7	7	t	0.999999999999906
90	0.7	7	t	0.999499999999906
150	0.7	7	t	0.892199999999918
1	1	7	t	0.999999999999906
3	1	7	t	0.999999999999906
