TRUEMEAN TRUESD TRUEMEDIAN OBSMEAN OBSSD OBSMEDIAN OBSSKEW OBSKURT OBSPCTF PENETRANCE ROBSMEAN ROBSSD
43 13 43 42.373216007193 12.6970120571563 42 -0.0264447527217433 -0.0929375622318482 0.507409102825892 0.94383001415 42 13
43 14 43 42.26232314696 13.5733739145835 42 -0.0270868391043401 -0.141059561121705 0.50756477466165 0.9401056169 42 14
43 15 43 42.111239531304 14.3659631725928 42 -0.0345999081162003 -0.186070163145533 0.507834239461946 0.93578390865 42 14
44 5 44 43.9017627742328 4.99605431156406 44 0.0073785200453264 -0.00884777849669049 0.50617418340147 0.95688487705 44 5
44 6 44 43.8788031287767 5.98647732373534 44 -0.0097556970271361 -0.0155196448749146 0.506285893978964 0.9557532103 44 6
44 7 44 43.872284227143 6.95311354993924 44 -0.0112997019993302 -0.03573378237986 0.506435914589543 0.95436117735 44 7
44 8 44 43.822229795219 7.95589405259808 44 -0.0183984326542327 0.00618442065731806 0.506596898053209 0.95277004045 44 8
44 9 44 43.7777946995859 8.92257194528881 44 -0.0115965257449643 0.00809418469593881 0.506806760079227 0.95088998285 44 9
44 10 44 43.6738703893959 9.89113737072158 44 -0.0136982287253563 -0.00953744613377339 0.507044426531268 0.9488454128 44 10
44 11 44 43.5691529892777 10.8463377933149 44 -0.0146544394890407 -0.0410120151128264 0.507135758343278 0.9464919179 44 11
44 12 44 43.4932729028653 11.7389865898418 44 -0.0279464243040484 -0.0494116685341748 0.507580213217684 0.94369806885 43 12
44 13 44 43.3249145346026 12.6874978596443 43 -0.0459798627274196 -0.0958578596574773 0.507811575683108 0.9406828658 43 13
44 14 44 43.223214253356 13.4903403371343 43 -0.0353086100104582 -0.120581664523719 0.508244803756538 0.9368330864 43 13
44 15 44 43.0467320971302 14.3255006235065 43 -0.0279046758593873 -0.180343457751129 0.508388778914851 0.93209431365 43 14
45 5 45 44.9203624031597 4.98736195581882 45 0.00436904215462703 -0.0106468824624928 0.506498762725884 0.95419156485 45 5
45 6 45 44.906633909658 5.98450426674858 45 -0.00339343002270856 0.00263607290548817 0.506649987191849 0.95291293685 45 6
45 7 45 44.855130762506 6.97396800744466 45 -0.000498731779399363 -0.00219563774500298 0.506810276741993 0.9514837569 45 7
45 8 45 44.7903254584003 7.94406336682954 45 -0.00954163161953951 -0.0030777341260495 0.507006120012687 0.94984964045 45 8
45 9 45 44.7412797521967 8.89022658383517 45 -0.010255527175738 0.0021592350472921 0.507227812821028 0.94789386425 45 9
45 10 45 44.6070848562866 9.86839873063667 45 -0.0231393639671325 -0.0126815319493478 0.507496803053945 0.94578046455 45 10
45 11 45 44.509338683414 10.818970584517 45 -0.0383620601706137 -0.0168966918390727 0.507590988131039 0.94330468595 45 11
